quarter,location,Consumer Bankruptcies,Consumer Proposals,Corporate Bankruptcies,Corporate Proposals,Individual Business Bankruptcies,Individual Business Proposals
2021_Q3,MB,191,412,5,2,4,0
2021_Q3,NB,279,409,1,0,2,0
2021_Q3,NL,130,238,1,0,2,0
2021_Q3,NS,297,407,0,0,1,0
2021_Q3,NT,0,9,0,0,0,0
2021_Q3,NU,1,3,0,0,0,0
2021_Q3,ON,1704,5361,95,22,19,24
2021_Q3,PE,32,46,1,0,0,1
2021_Q3,QC,2456,3235,223,33,23,16
2021_Q3,SK,168,434,0,0,4,3
2021_Q3,YT,1,8,0,0,0,0
2021_Q4,AB,632,2798,13,2,6,6
2021_Q4,BC,469,1656,7,1,5,1
2021_Q4,CAN,6492,15774,486,92,93,62
2021_Q4,MB,202,451,0,0,4,1
2021_Q4,NB,248,412,3,1,0,0
2021_Q4,NL,145,258,0,1,2,0
2021_Q4,NS,281,409,1,0,3,3
2021_Q4,NT,4,12,0,0,0,0
2021_Q4,NU,0,4,0,0,0,0
2021_Q4,ON,1869,5810,105,26,32,22
2021_Q4,PE,45,62,0,0,2,0
2021_Q4,QC,2419,3362,357,61,31,26
2021_Q4,SK,176,531,0,0,8,3
2021_Q4,YT,2,9,0,0,0,0
2022_Q1,AB,587,2896,16,4,18,8
2022_Q1,BC,448,1844,14,5,15,5
2022_Q1,CAN,5975,17178,477,107,139,84
2022_Q1,MB,130,444,3,2,2,2
2022_Q1,NB,259,480,2,0,4,1
2022_Q1,NL,142,286,0,0,1,0
2022_Q1,NS,261,435,1,4,3,0
2022_Q1,NT,1,20,0,0,0,0
2022_Q1,NU,0,1,0,0,0,0
2022_Q1,ON,1650,6166,95,32,52,37
2022_Q1,PE,45,65,1,0,0,0
2022_Q1,QC,2282,3971,342,60,36,28
2022_Q1,SK,168,563,3,0,8,3
2022_Q1,YT,2,7,0,0,0,0
2022_Q2,AB,640,3289,14,5,14,18
2022_Q2,BC,465,2012,10,3,15,6
2022_Q2,CAN,6510,18776,508,82,115,91
2022_Q2,MB,195,509,2,1,2,1
2022_Q2,NB,293,500,1,0,2,1
2022_Q2,NL,184,304,0,0,6,0
2022_Q2,NS,364,574,1,0,2,2
2022_Q2,NT,2,15,0,0,0,0
2022_Q2,NU,0,2,0,0,0,0
2022_Q2,ON,1969,6848,113,26,31,30
2022_Q2,PE,47,69,0,0,0,0
2022_Q2,QC,2190,4003,366,44,37,30
2022_Q2,SK,161,633,1,3,6,3
2022_Q2,YT,0,18,0,0,0,0
2022_Q3,AB,558,3117,18,22,16,17
2022_Q3,BC,442,2226,11,6,19,9
2022_Q3,CAN,6281,19579,486,93,129,88
2022_Q3,MB,207,548,2,2,1,2
2022_Q3,NB,265,560,3,0,4,1
2022_Q3,NL,180,340,0,0,2,2
2022_Q3,NS,316,625,3,0,2,0
2022_Q3,NT,0,11,0,0,0,0
2022_Q3,NU,0,3,0,0,0,0
2022_Q3,ON,1790,7170,119,18,43,27
2022_Q3,PE,38,74,0,0,0,0
2022_Q3,QC,2313,4276,328,42,34,25
2022_Q3,SK,170,618,2,3,8,5
2022_Q3,YT,2,11,0,0,0,0
2022_Q4,AB,589,3199,26,7,11,23
2022_Q4,BC,466,2264,9,4,12,10
2022_Q4,CAN,5820,20065,628,114,139,122
2022_Q4,MB,202,538,0,2,5,5
2022_Q4,NB,210,561,3,2,2,0
2022_Q4,NL,168,324,0,0,1,0
2022_Q4,NS,267,625,1,1,4,3
2022_Q4,NT,0,7,0,0,0,2
2022_Q4,NU,0,7,0,0,0,0
2022_Q4,ON,1724,7419,153,28,52,50
2022_Q4,PE,39,66,1,1,0,0
2022_Q4,QC,2010,4388,434,69,47,23
2022_Q4,SK,143,660,1,0,5,6
2022_Q4,YT,2,7,0,0,0,0
2023_Q1,AB,655,3844,23,7,16,10
2023_Q1,BC,497,2506,23,4,12,10
2023_Q1,CAN,6265,23460,697,129,131,113
2023_Q1,MB,200,630,2,1,5,2
2023_Q1,NB,216,597,4,0,1,3
2023_Q1,NL,177,342,0,0,2,1
2023_Q1,NS,298,711,4,0,4,1
2023_Q1,NT,1,13,1,0,0,0
2023_Q1,NU,1,4,0,0,0,0
2023_Q1,ON,1780,8519,170,23,56,39
2023_Q1,PE,38,89,0,0,0,0
2023_Q1,QC,2250,5435,470,93,30,39
2023_Q1,SK,147,760,0,1,5,8
2023_Q1,YT,5,10,0,0,0,0
2023_Q2,AB,667,3787,18,7,15,13
2023_Q2,BC,534,2789,24,4,20,20
2023_Q2,CAN,6945,24279,664,127,161,138
2023_Q2,MB,265,693,1,0,5,3
2023_Q2,NB,251,716,3,0,4,2
2023_Q2,NL,205,452,0,0,4,1
2023_Q2,NS,327,850,4,1,2,2
2023_Q2,NT,7,12,0,0,0,0
2023_Q2,NU,1,2,0,0,0,0
2023_Q2,ON,2153,9097,150,31,48,47
2023_Q2,PE,34,106,0,0,1,0
2023_Q2,QC,2293,5016,462,84,51,45
2023_Q2,SK,207,746,2,0,10,5
2023_Q2,YT,1,13,0,0,1,0
2023_Q3,AB,627,3665,19,15,11,16
2023_Q3,BC,455,2717,35,8,21,14
2023_Q3,CAN,6428,24043,702,174,144,109
2023_Q3,MB,210,700,2,0,8,5
2023_Q3,NB,219,707,1,0,2,2
2023_Q3,NL,158,369,1,4,6,3
2023_Q3,NS,299,773,1,2,6,4
2023_Q3,NT,2,12,0,0,0,0
2023_Q3,NU,0,5,0,0,0,0
2023_Q3,ON,1980,8952,162,40,49,30
2023_Q3,PE,27,99,0,0,0,0
2023_Q3,QC,2293,5292,480,105,37,30
2023_Q3,SK,157,747,1,0,4,5
2023_Q3,YT,1,5,0,0,0,0
2023_Q4,AB,623,4053,27,24,13,20
2023_Q4,BC,536,2862,30,2,14,12
2023_Q4,CAN,6578,25235,1044,176,159,142
2023_Q4,MB,221,704,1,0,5,3
2023_Q4,NB,189,626,4,0,2,4
2023_Q4,NL,146,403,1,0,3,3
2023_Q4,NS,259,782,4,1,3,3
2023_Q4,NT,2,12,1,0,0,0
2023_Q4,NU,0,2,0,0,0,0
2023_Q4,ON,2118,9232,285,29,71,50
2023_Q4,PE,24,85,0,0,0,0
2023_Q4,QC,2303,5695,691,120,35,40
2023_Q4,SK,157,771,0,0,13,7
2023_Q4,YT,0,8,0,0,0,0
2024_Q1,AB,619,3966,25,18,28,23
2024_Q1,BC,533,3002,26,11,24,26
2024_Q1,CAN,6849,27036,1429,232,170,172
2024_Q1,MB,189,726,2,1,10,1
2024_Q1,NB,210,666,5,0,3,4
2024_Q1,NL,135,416,1,0,1,1
2024_Q1,NS,271,785,2,0,6,3
2024_Q1,NT,2,18,0,0,0,0
2024_Q1,NU,0,1,0,0,0,0
2024_Q1,ON,2145,10153,464,58,46,66
2024_Q1,PE,34,110,1,0,3,0
2024_Q1,QC,2551,6323,898,141,42,44
2024_Q1,SK,158,858,5,3,7,4
2024_Q1,YT,2,12,0,0,0,0
2024_Q2,AB,668,4232,22,13,17,27
2024_Q2,BC,569,2977,29,2,26,7
2024_Q2,CAN,7745,27337,1032,169,167,173
2024_Q2,MB,251,714,11,0,3,3
2024_Q2,NB,225,630,3,0,2,4
2024_Q2,NL,153,410,1,0,3,4
2024_Q2,NS,346,848,9,0,4,1
2024_Q2,NT,2,13,0,0,0,0
2024_Q2,NU,1,5,0,0,0,0
2024_Q2,ON,2648,10661,252,46,61,57
2024_Q2,PE,46,88,2,0,0,2
2024_Q2,QC,2660,5934,703,108,45,62
2024_Q2,SK,174,818,0,0,6,5
2024_Q2,YT,2,7,0,0,0,1
2024_Q3,AB,714,4172,10,6,13,22
2024_Q3,BC,585,2758,35,6,21,19
2024_Q3,CAN,7247,27341,821,185,157,149
2024_Q3,MB,212,756,1,0,4,5
2024_Q3,NB,233,660,4,1,0,6
2024_Q3,NL,129,440,1,1,4,1
2024_Q3,NS,319,820,6,6,4,2
2024_Q3,NT,2,17,0,0,0,0
2024_Q3,NU,0,2,0,0,0,0
2024_Q3,ON,2283,10857,238,47,56,53
2024_Q3,PE,41,94,0,0,0,1
2024_Q3,QC,2554,5957,526,117,48,38
2024_Q3,SK,173,799,0,1,7,2
2024_Q3,YT,2,9,0,0,0,0
2024_Q4,AB,586,4033,17,6,24,20
2024_Q4,BC,552,2889,26,9,16,21
2024_Q4,CAN,7199,26541,820,172,175,165
2024_Q4,MB,227,706,1,0,7,4
2024_Q4,NB,209,696,4,0,3,5
2024_Q4,NL,129,426,2,1,1,3
2024_Q4,NS,290,689,5,0,7,5
2024_Q4,NT,0,13,0,0,0,0
2024_Q4,NU,0,2,0,0,0,0
2024_Q4,ON,2339,10551,242,54,66,67
2024_Q4,PE,39,107,0,1,2,0
2024_Q4,QC,2660,5651,516,98,45,34
2024_Q4,SK,166,767,6,3,4,6
2024_Q4,YT,2,11,1,0,0,0
2025_Q1,AB,632,4185,33,11,32,27
2025_Q1,BC,527,3206,30,7,27,21
2025_Q1,CAN,7108,27818,833,177,169,130
2025_Q1,MB,199,728,1,0,5,2
2025_Q1,NB,203,681,4,1,4,2
2025_Q1,NL,123,464,0,0,4,2
2025_Q1,NS,261,800,6,6,4,2
2025_Q1,NT,1,16,0,0,0,0
2025_Q1,NU,0,4,0,0,0,0
2025_Q1,ON,2186,10398,214,42,53,43
2025_Q1,PE,35,116,0,0,1,0
2025_Q1,QC,2756,6443,537,111,34,28
2025_Q1,SK,183,760,4,0,6,2
2025_Q1,YT,2,16,1,0,0,0
2025_Q2,AB,719,4145,15,10,22,26
2025_Q2,BC,648,3146,28,11,18,11
2025_Q2,CAN,7800,27314,823,170,178,107
2025_Q2,MB,224,792,2,0,3,0
2025_Q2,NB,235,642,5,1,3,2
2025_Q2,NL,155,522,2,0,3,1
2025_Q2,NS,316,855,7,1,2,0
2025_Q2,NT,2,15,0,0,0,0
2025_Q2,NU,0,1,0,0,0,0
2025_Q2,ON,2621,10671,211,44,74,40
2025_Q2,PE,51,85,0,1,0,0
2025_Q2,QC,2635,5737,548,100,45,22
2025_Q2,SK,190,696,5,2,8,5
2025_Q2,YT,4,7,0,0,0,0
2025_Q3,AB,616,4125,17,20,38,19
2025_Q3,BC,659,3334,25,5,26,11
2025_Q3,CAN,7787,28469,681,155,160,112
2025_Q3,MB,215,812,1,2,4,0
2025_Q3,NB,202,722,2,0,1,0
2025_Q3,NL,133,483,0,2,0,0
2025_Q3,NS,295,776,6,0,3,2
2025_Q3,NT,0,10,0,0,0,0
2025_Q3,NU,1,2,0,0,0,0
2025_Q3,ON,2666,11227,197,36,49,41
2025_Q3,PE,41,110,0,0,0,3
2025_Q3,QC,2769,6129,432,90,35,33
2025_Q3,SK,188,732,1,0,4,3
2025_Q3,YT,2,7,0,0,0,0
2025_Q4,AB,675,3805,20,6,12,25
2025_Q4,BC,605,3295,21,3,25,13
2025_Q4,CAN,7718,27144,705,150,156,111
2025_Q4,MB,229,780,5,0,0,1
2025_Q4,NB,205,644,2,1,2,3
2025_Q4,NL,97,415,3,0,1,0
2025_Q4,NS,280,768,4,3,3,0
2025_Q4,NT,4,11,0,0,0,0
2025_Q4,NU,1,7,0,0,0,0
2025_Q4,ON,2783,10737,194,35,67,35
2025_Q4,PE,38,124,0,0,0,0
2025_Q4,QC,2652,5894,456,102,42,31
2025_Q4,SK,144,649,0,0,4,3
2025_Q4,YT,5,15,0,0,0,0
2026_Q1,AB,234,1232,10,0,6,4
2026_Q1,BC,184,1180,13,2,4,6
2026_Q1,CAN,2349,9059,235,43,53,36
2026_Q1,MB,56,226,2,0,0,0
2026_Q1,NB,59,191,0,0,0,2
2026_Q1,NL,38,155,0,0,0,0
2026_Q1,NS,79,234,0,1,0,2
2026_Q1,NT,1,0,0,0,0,0
2026_Q1,NU,0,0,0,0,0,0
2026_Q1,ON,764,3405,72,8,25,12
2026_Q1,PE,11,37,0,0,0,0
2026_Q1,QC,861,2176,138,32,18,9
2026_Q1,SK,60,216,0,0,0,1
2026_Q1,YT,2,7,0,0,0,0
